SITE,HOST_URL,THIRD_URL,COOKIE_GET,COOKIE_SET,DOM,DOM_INFO,NET,REQUEST_URL
host.com:3001,"http://host.com:3001/taskPermission/scriptChecker/malicious-set/run.html",/angler/12/deobfuscated_injection.js,Y,Y,Y,"Document::CreateElementForBinding:""Document::CreateElementForBinding->div<head />""
""body:""<body />",N,
,,/angler/12/jquery_injected.js,Y,Y,Y,"Document::CreateElementForBinding:""Document::CreateElementForBinding->div<head />""
""body:""<body />",N,
,,/angler/20160211/2016-02-11-www.pdcmemphis.com-wp-emoji-releae_injected.js,Y,Y,Y,"Document::CreateElementForBinding:""Document::CreateElementForBinding->div<head />""
""body:""<body />",N,
,,/angler/20160212/2016-02-15-page-from-waterfrontsouthgate.com.au_injected.js,Y,Y,Y,"Document::CreateElementForBinding:""Document::CreateElementForBinding->div<head />""
""body:""<body />",N,
,,/angler/20160222/2016-02-22-js-from-compromised-website-skinnymom.com-edd-checkout-global.min.js,Y,Y,Y,"Document::CreateElementForBinding:""Document::CreateElementForBinding->div<head />""
""body:""<body />",N,
,,/angler/20160222/2016-02-22-js-from-compromised-website-skinnymom.com-zlrecipe_print.js,Y,Y,Y,"Document::CreateElementForBinding:""Document::CreateElementForBinding->div<head />""
""body:""<body />",N,
,,/angler/20160229/2016-02-29-js-file-from-sushifaq.com-wp-emoji-release.min_injected.js,Y,Y,Y,"Document::CreateElementForBinding:""Document::CreateElementForBinding->div<head />""
""body:""<body />",N,
,,/angler/20160302/2016-03-02-kiwitemplates.com-bootstrap.min_injected.js,Y,Y,Y,"Document::CreateElementForBinding:""Document::CreateElementForBinding->div<head />""
""body:""<body />",N,
,,/angler/20160302/2016-03-02-kiwitemplates.com-caption_injected.js,Y,Y,Y,"Document::CreateElementForBinding:""Document::CreateElementForBinding->div<head />""
""body:""<body />",N,
,,/angler/20160302/2016-03-02-kiwitemplates.com-core_injected.js,Y,Y,Y,"Document::CreateElementForBinding:""Document::CreateElementForBinding->div<head />""
""body:""<body />",N,
,,/angler/20160302/2016-03-02-kiwitemplates.com-engine.mootools_injected.js,Y,Y,Y,"Document::CreateElementForBinding:""Document::CreateElementForBinding->div<head />""
""body:""<body />",N,
,,/angler/20160302/2016-03-02-kiwitemplates.com-jquery-migrate.min_injected.js,Y,Y,Y,"Document::CreateElementForBinding:""Document::CreateElementForBinding->div<head />""
""body:""<body />",N,
,,/angler/20160302/2016-03-02-kiwitemplates.com-jquery.min_injected.js,Y,Y,Y,"Document::CreateElementForBinding:""Document::CreateElementForBinding->div<head />""
""body:""<body />",N,
,,/angler/20160302/2016-03-02-kiwitemplates.com-mootools-core_injected.js,Y,Y,Y,"Document::CreateElementForBinding:""Document::CreateElementForBinding->div<head />""
""body:""<body />",N,
,,/angler/20160302/2016-03-02-page-from-dompetdhuafa.org.au-with-injected-script.js,Y,Y,Y,"Document::CreateElementForBinding:""Document::CreateElementForBinding->div<head />""
""body:""<body />",N,
,,/crimepack/iframes/sample9.js,N,N,Y,"Document::write:""Document::write-><iframe name=""nojrserflro"" width=""1"" height=""0"" src=""http://localhost/index.php"" marginwidth=""1"" marginheight=""0"" title=""nojrserflro"" scrolling=""no"" border=""0"" frameborder=""0""></iframe><head />",N,
