SCRIPT,BASELINE-COOKIE-GET,BASELINE_COOKIE_SET,BASELINE-DOM,BASELINE-XHR,BASELINE-CNT,OUR-COOKIE-GET,OUR_COOKIE_SET,OUR-DOM,OUR-XHR,OUR_CNR,COMPARE
"/RIG_ek/1/2016-02-07-engeniusforum.com-jquery_injection.js",-1,-1,-1,-1,-4,-1,-1,-1,-1,-4,Y
"/RIG_ek/2/2016-02-23-Rig-EK-chain-step-1-ancientbathsny.com-jquery.js",-1,-1,-1,-1,-4,-1,-1,-1,-1,-4,Y
"/RIG_ek/2/2016-02-23-Rig-EK-chain-step-1-cyclocamping.com-jquery.min.js",-1,-1,-1,-1,-4,-1,-1,-1,-1,-4,Y
"/RIG_ek/2/2016-02-23-Rig-EK-chain-step-1-pavtube.com-jquery.js",-1,-1,-1,-1,-4,-1,-1,-1,-1,-4,Y
"/RIG_ek/2/2016-02-23-Rig-EK-chain-step-1-planetside.co.uk-mootools-core.js",-1,-1,-1,-1,-4,-1,-1,-1,-1,-4,Y
"/RIG_ek/2/2016-02-23-Rig-EK-chain-step-1-theprojectgirl.com-jquery.js",-1,-1,-1,-1,-4,-1,-1,-1,-1,-4,Y
"/RIG_ek/ek_rig_start[.]remax-grandrapidstwp[.]com.js",-1,-1,-1,-1,-4,-1,-1,-1,-1,-4,Y
"/angler/12/deobfuscated_injection.js",1,1,1,0,3,1,1,1,0,3,Y
"/angler/12/jquery_injected.js",1,1,1,0,3,1,1,1,0,3,Y
"/angler/201506/ek_angler_2015_06_21.js",-1,-1,-1,-1,-4,-1,-1,-1,-1,-4,Y
"/angler/20160211/2016-02-11-www.pdcmemphis.com-wp-emoji-releae_injected.js",1,1,1,0,3,1,1,1,0,3,Y
"/angler/20160212/2016-02-15-page-from-waterfrontsouthgate.com.au_injected.js",1,1,1,0,3,1,1,1,0,3,Y
"/angler/20160222/2016-02-22-js-from-compromised-website-skinnymom.com-edd-checkout-global.min.js",1,1,1,0,3,1,1,1,0,3,Y
"/angler/20160222/2016-02-22-js-from-compromised-website-skinnymom.com-zlrecipe_print.js",1,1,1,0,3,1,1,1,0,3,Y
"/angler/20160229/2016-02-29-js-file-from-sushifaq.com-wp-emoji-release.min_injected.js",1,1,1,0,3,1,1,1,0,3,Y
"/angler/20160302/2016-03-02-kiwitemplates.com-bootstrap.min_injected.js",1,1,1,0,3,1,1,1,0,3,Y
"/angler/20160302/2016-03-02-kiwitemplates.com-caption_injected.js",1,1,1,0,3,1,1,1,0,3,Y
