RANK,SITE,#THIRD_URL-cookie-get,#THIRD_DOMAIN-cookie-get,#THIRD_URL-cookie-set,#THIRD_DOMAIN-cookie-set,#THIRD_URL-cookie,#THIRD_DOMAIN-cookie,#THIRD_URL-DOM,#THIRD_DOMAIN-DOM,#THIRD_URL-NET,#THIRD_DOMAIN-NET
1,"google.com",1,1,1,1,1,1,0,0,0,0
2,"youtube.com",1,1,1,1,1,1,0,0,0,0
4,"tmall.com",6,2,6,2,6,2,0,0,0,0
5,"baidu.com",0,0,0,0,0,0,3,2,1,1
6,"qq.com",1,1,1,1,1,1,0,0,0,0
7,"sohu.com",7,6,7,6,7,6,6,6,6,4
8,"taobao.com",8,2,8,2,8,2,1,1,1,1
9,"jd.com",1,1,1,1,1,1,0,0,0,0
10,"360.cn",1,1,1,1,1,1,2,2,0,0
11,"yahoo.com",0,0,0,0,0,0,2,1,0,0
12,"amazon.com",1,1,1,1,1,1,4,1,1,1
14,"weibo.com",3,2,3,2,3,2,2,1,1,1
15,"zoom.us",4,2,4,2,4,2,1,1,3,2
16,"sina.com.cn",3,2,3,2,3,2,1,1,0,0
17,"xinhuanet.com",0,0,0,0,0,0,5,2,1,1
18,"live.com",0,0,0,0,0,0,4,3,0,0
19,"office.com",1,1,1,1,1,1,1,1,0,0
20,"netflix.com",4,3,4,3,4,3,0,0,4,2
24,"zhanqi.tv",2,1,2,1,2,1,1,1,0,0
25,"alipay.com",9,3,9,3,9,3,3,3,2,1
26,"csdn.net",9,3,9,3,9,3,2,2,1,1
27,"panda.tv",1,1,1,1,1,1,0,0,0,0
28,"bing.com",0,0,0,0,0,0,0,0,4,1
29,"coinmarketcap.com",2,2,2,2,2,2,0,0,0,0
30,"vk.com",3,2,3,2,3,2,0,0,0,0
31,"bongacams.com",1,1,1,1,1,1,0,0,0,0
32,"yahoo.co.jp",2,2,2,2,2,2,9,2,1,1
33,"twitter.com",1,1,1,1,1,1,2,2,0,0
34,"naver.com",0,0,0,0,0,0,4,2,0,0
37,"salesforce.com",9,5,9,5,9,5,1,1,4,3
39,"linkedin.com",17,3,17,3,17,3,10,2,13,2
40,"chaturbate.com",2,2,2,2,2,2,6,2,0,0
41,"okezone.com",6,6,6,6,6,6,5,3,3,3
43,"binance.com",6,3,6,3,6,3,0,0,2,2
44,"aliexpress.com",16,4,16,4,16,4,1,1,0,0
45,"ebay.com",1,1,1,1,1,1,0,0,0,0
46,"tianya.cn",4,2,4,2,4,2,1,1,0,0
47,"huanqiu.com",4,4,4,4,4,4,3,3,0,0
48,"aparat.com",1,1,1,1,1,1,0,0,0,0
50,"mail.ru",2,2,2,2,2,2,0,0,0,0
51,"wordpress.com",2,2,2,2,2,2,6,2,3,2
53,"tradingview.com",1,1,1,1,1,1,1,1,1,1
54,"dropbox.com",0,0,0,0,0,0,2,2,1,1
59,"indeed.com",1,1,1,1,1,1,0,0,0,0
60,"medium.com",2,2,2,2,2,2,3,2,4,3
61,"chase.com",0,0,0,0,0,0,0,0,1,1
63,"kumparan.com",2,2,2,2,2,2,2,2,1,1
64,"zoho.com",7,4,7,4,7,4,3,3,1,1
67,"spotify.com",15,11,15,11,15,11,7,5,10,6
68,"freepik.com",2,1,2,1,2,1,1,1,0,0
69,"imdb.com",1,1,1,1,1,1,5,1,0,0
73,"upwork.com",4,2,4,2,4,2,0,0,0,0
74,"cnblogs.com",5,3,5,3,5,3,1,1,1,1
75,"paypal.com",5,1,5,1,5,1,0,0,4,2
77,"so.com",4,1,4,1,4,1,4,2,0,0
78,"tribunnews.com",5,4,5,4,5,4,5,4,1,1
79,"gome.com.cn",0,0,0,0,0,0,1,1,0,0
80,"pikiran-rakyat.com",2,2,2,2,2,2,6,4,1,1
81,"babytree.com",3,2,3,2,3,2,4,2,0,0
82,"alibaba.com",10,2,10,2,10,2,1,1,1,1
84,"instructure.com",8,7,8,7,8,7,2,2,2,1
85,"github.com",0,0,0,0,0,0,0,0,1,1
86,"w3schools.com",4,3,4,3,4,3,1,1,3,3
88,"booking.com",6,3,6,3,6,3,2,2,2,1
89,"6.cn",4,1,4,1,4,1,2,1,1,1
91,"rakuten.co.jp",13,4,13,4,13,4,11,2,1,1
95,"espn.com",7,4,7,4,7,4,2,2,1,1
96,"udemy.com",5,5,5,5,5,5,1,1,3,2
97,"xvideos.com",0,0,0,0,0,0,1,1,0,0
98,"roblox.com",1,1,1,1,1,1,1,1,1,1
100,"grammarly.com",10,5,10,5,10,5,1,1,5,2
102,"stackoverflow.com",1,1,1,1,1,1,4,2,3,3
103,"pornhub.com",2,1,2,1,2,1,1,1,1,1
104,"nytimes.com",7,6,7,6,7,6,3,3,3,2
105,"1688.com",11,2,11,2,11,2,1,1,0,0
106,"bbc.com",5,4,5,4,5,4,1,1,1,1
107,"xhamster.com",2,1,2,1,2,1,2,1,0,0
109,"wetransfer.com",1,1,1,1,1,1,0,0,0,0
110,"mailchimp.com",2,2,2,2,2,2,0,0,2,1
111,"intuit.com",8,6,8,6,8,6,2,2,3,3
113,"tumblr.com",0,0,0,0,0,0,1,1,1,1
114,"bitly.com",6,3,6,3,6,3,8,4,2,2
115,"cnn.com",5,4,5,4,5,4,1,1,4,3
116,"godaddy.com",9,4,9,4,9,4,2,2,3,1
118,"deepl.com",3,1,3,1,3,1,0,0,1,1
120,"imgur.com",2,2,2,2,2,2,3,3,1,1
121,"ettoday.net",8,4,8,4,8,4,3,3,3,2
122,"bankofamerica.com",2,1,2,1,2,1,5,1,1,1
123,"zillow.com",3,3,3,3,3,3,7,3,2,2
125,"kompas.com",8,4,8,4,8,4,1,1,1,1
128,"stackexchange.com",2,2,2,2,2,2,2,2,1,1
129,"daum.net",4,1,4,1,4,1,5,2,4,2
130,"zhihu.com",4,4,4,4,4,4,2,1,1,1
131,"ok.ru",1,1,1,1,1,1,0,0,1,1
132,"digikala.com",3,2,3,2,3,2,0,0,1,1
133,"indiatimes.com",3,3,3,3,3,3,2,2,1,1
134,"detik.com",9,4,9,4,9,4,4,3,3,3
135,"hao123.com",1,1,1,1,1,1,0,0,0,0
137,"rednet.cn",5,2,5,2,5,2,0,0,0,0
139,"shutterstock.com",4,4,4,4,4,4,0,0,3,2
140,"wix.com",5,2,5,2,5,2,6,4,0,0
141,"smallpdf.com",1,1,1,1,1,1,0,0,1,1
142,"pixnet.net",1,1,1,1,1,1,0,0,0,0
144,"zerodha.com",0,0,0,0,0,0,1,1,0,0
145,"soundcloud.com",2,2,2,2,2,2,0,0,2,2
146,"wellsfargo.com",2,1,2,1,2,1,1,1,0,0
147,"line.me",4,1,4,1,4,1,2,2,0,0
151,"etherscan.io",1,1,1,1,1,1,0,0,0,0
153,"bbc.co.uk",6,2,6,2,6,2,0,0,0,0
154,"nih.gov",7,6,7,6,7,6,2,2,2,2
155,"bestbuy.com",2,1,2,1,2,1,3,2,0,0
156,"tistory.com",2,1,2,1,2,1,1,1,0,0
158,"speedtest.net",5,4,5,4,5,4,0,0,2,2
159,"docusign.com",2,2,2,2,2,2,0,0,0,0
160,"trendyol.com",2,2,2,2,2,2,0,0,1,1
161,"pancakeswap.finance",1,1,1,1,1,1,0,0,0,0
162,"americanexpress.com",17,5,17,5,17,5,5,2,5,1
163,"mediafire.com",2,1,2,1,2,1,3,2,0,0
164,"ups.com",3,3,3,3,3,3,0,0,0,0
165,"haiwainet.cn",3,3,3,3,3,3,4,3,0,0
166,"primevideo.com",1,1,1,1,1,1,1,1,0,0
168,"bet9ja.com",2,2,2,2,2,2,2,2,1,1
169,"vimeo.com",5,3,5,3,5,3,6,3,4,3
170,"hdfcbank.com",0,0,0,0,0,0,2,1,1,1
171,"fedex.com",5,4,5,4,5,4,0,0,2,2
172,"unsplash.com",1,1,1,1,1,1,0,0,0,0
174,"investing.com",6,5,6,5,6,5,7,5,5,4
175,"globo.com",4,3,4,3,4,3,1,1,4,2
177,"etsy.com",2,2,2,2,2,2,2,2,0,0
179,"cnbc.com",8,5,8,5,8,5,1,1,4,4
180,"avito.ru",3,3,3,3,3,3,3,2,1,1
182,"yelp.com",10,7,10,7,10,7,2,2,4,3
183,"cricbuzz.com",3,3,3,3,3,3,2,1,2,2
184,"forbes.com",6,4,6,4,6,4,1,1,2,2
185,"varzesh3.com",5,3,5,3,5,3,2,2,2,1
187,"researchgate.net",2,2,2,2,2,2,3,3,0,0
