RANK,SITE,TYPE_<button,TYPE_<form,TYPE_<input,WORD_card,WORD_credential,WORD_passwd,WORD_password,WORD_privacy,WORD_private,WORD_secret,WORD_security
5,"baidu.com",0,0,2,0,0,0,0,0,0,0,0,
7,"sohu.com",0,0,0,8,0,0,0,0,0,0,0,
10,"360.cn",0,0,2,0,0,0,0,0,0,0,0,
11,"yahoo.com",0,0,1,0,0,0,0,0,0,0,0,
14,"weibo.com",0,0,1,2,0,0,2,0,0,0,0,
15,"zoom.us",0,1,0,0,0,0,0,0,0,0,0,
18,"live.com",0,2,4,0,2,0,2,2,0,0,0,
19,"office.com",1,0,0,0,0,0,0,0,0,0,0,
24,"zhanqi.tv",0,0,3,0,0,0,0,0,0,0,0,
25,"alipay.com",0,0,1,0,0,0,0,0,0,0,1,
26,"csdn.net",0,0,3,0,0,0,0,0,0,0,0,
32,"yahoo.co.jp",0,0,0,1,0,0,0,0,0,0,1,
33,"twitter.com",0,0,0,4,0,0,0,2,0,0,0,
34,"naver.com",1,1,1,0,0,0,0,0,0,0,0,
39,"linkedin.com",0,0,0,3,0,0,0,0,0,0,0,
40,"chaturbate.com",0,4,9,4,0,0,0,4,4,2,4,
41,"okezone.com",4,0,2,4,0,0,0,0,0,0,0,
44,"aliexpress.com",0,0,1,0,0,0,0,0,0,0,0,
46,"tianya.cn",0,0,4,0,0,0,0,0,0,0,0,
47,"huanqiu.com",0,0,0,0,0,0,0,1,0,0,0,
51,"wordpress.com",0,0,0,1,0,0,0,0,0,0,0,
53,"tradingview.com",0,0,0,1,0,0,0,0,0,0,0,
54,"dropbox.com",1,0,1,0,0,0,1,1,0,0,1,
64,"zoho.com",0,1,1,0,0,0,0,0,0,0,0,
67,"spotify.com",3,2,2,5,0,0,0,3,0,0,0,
69,"imdb.com",0,0,1,2,0,0,0,0,0,0,0,
74,"cnblogs.com",0,0,1,0,0,0,0,0,0,0,0,
77,"so.com",0,0,4,0,0,0,0,0,0,0,0,
78,"tribunnews.com",1,1,6,15,0,0,0,1,0,0,0,
80,"pikiran-rakyat.com",0,0,0,1,0,0,0,0,0,0,0,
81,"babytree.com",0,0,4,0,0,0,0,0,0,0,0,
82,"alibaba.com",0,3,3,0,0,0,0,0,0,0,0,
84,"instructure.com",0,0,0,1,0,0,0,1,0,0,0,
86,"w3schools.com",1,0,1,1,0,0,0,1,0,0,1,
88,"booking.com",0,0,4,0,0,0,0,2,0,0,0,
89,"6.cn",0,3,5,0,0,0,0,0,0,0,0,
