#######################################
# TABLE for frame chain distribution  #
#######################################
length	#webpages	webpages
1	25679
2	4272
3	2101
4	77
5	1687
6	57
7	671
8	62
9	988
10	26
11	227
12	40
13	567
14	58
15	113
16	54
17	247
18	37
19	126
20	70
21	228
22	9
23	75
24	7
25	171
26	6
27	75
28	21
29	83
30	2
31	54
32	4
33	98
34	3
35	51
36	6
37	103
38	7
39	38
40	11
41	67
42	1
43	72
44	4
45	92
46	6
47	118
48	3
49	77
50	3
51	42
52	6
53	41
54	4
55	332
56	1
57	123
58	4
59	24
60	7
61	36
62	7
63	26
64	10
65	24
66	5
67	7
68	18
69	21
70	4
71	3
72	10
73	5
74	2
75	4
76	12
77	21
78	2
79	5
80	9
81	43
82	2
83	6
84	6
85	17
86	3
87	14
88	3
89	28
91	16
92	36
93	63
94	11
95	28
96	1
97	38
98	9
99	6724



#######################################################
# TABLE for frame chain (with JS stack) distribution  #
#######################################################
length	#webpages	webpages
2	245
3	2047
4	72
5	1684
6	57
7	671
8	62
9	988
10	26
11	227
12	40
13	567
14	57
15	113
16	54
17	247
18	37
19	126
20	70
21	228
22	9
23	75
24	7
25	171
26	6
27	75
28	21
29	83
30	2
31	54
32	4
33	98
34	3
35	51
36	6
37	103
38	7
39	38
40	11
41	67
42	1
43	72
44	4
45	92
46	6
47	118
48	3
49	77
50	3
51	42
52	6
53	41
54	4
55	332
56	1
57	123
58	4
59	24
60	7
61	36
62	7
63	26
64	10
65	24
66	5
67	7
68	18
69	21
70	4
71	3
72	10
73	5
74	2
75	4
76	12
77	21
78	2
79	5
80	9
81	43
82	2
83	6
84	6
85	17
86	3
87	14
88	3
89	28
91	16
92	36
93	63
94	11
95	28
96	1
97	38
98	9
99	6724



############################################################
# TABLE for frame chain (with diff features) distribution  #
############################################################
length	#webpages	webpages
2	10
3	3
4	1
16	12
99	9



#######################################
# Information for vuln webpages #
#######################################

Url	filename	MaxLengthOfFrameChain	MaxVulnFrameChain
http://finance.eastday.com/BustSTVmrQIi0	/home/wluo/workspace/tim-evaluate/url_list/topsitesAlexa/results/eastday.com/http:,,finance.eastday.com,BustSTVmrQIi0	3	-5:6_http://finance.eastday.com/-5:3_http://finance.eastday.com/-5:6_http://finance.eastday.com/
https://www.mapsofindia.com/myajN5YZ2MLE	/home/wluo/workspace/tim-evaluate/url_list/topsitesAlexa/results/mapsofindia.com/https:,,www.mapsofindia.com,myajN5YZ2MLE	16	-5:15_https://googleads.g.doubleclick.net/-5:8_https://googleads.g.doubleclick.net/-5:15_https://googleads.g.doubleclick.net/-5:6_https://googleads.g.doubleclick.net/-5:15_https://googleads.g.doubleclick.net/-5:8_https://googleads.g.doubleclick.net/-5:15_https://googleads.g.doubleclick.net/-5:8_https://googleads.g.doubleclick.net/-5:15_https://googleads.g.doubleclick.net/-5:8_https://googleads.g.doubleclick.net/-5:15_https://googleads.g.doubleclick.net/-5:8_https://googleads.g.doubleclick.net/-5:15_https://googleads.g.doubleclick.net/-5:8_https://googleads.g.doubleclick.net/-5:15_https://googleads.g.doubleclick.net/-5:20_https://googleads.g.doubleclick.net/
